脱敏车牌编号,号牌种类,号牌颜色,采集设备,车辆类型,车速(km/h),经过时间
2,大型汽车,黄色,高速K164+750M方向2,重型普通货车,55,2024/3/6 6:53
3,大型汽车,黄色,高速K164+750M方向2,重型普通货车,58,2024/3/6 6:53
1,小型汽车,蓝色,高速K164+750M方向1,小型轿车,80,2024/3/6 6:53
4,小型汽车,蓝色,高速K164+750M方向1,小型轿车,74,2024/3/6 6:53
5,小型新能源汽车,绿色,高速K164+750M方向1,小型轿车,76,2024/3/6 6:54
6,大型汽车,黄色,高速K164+750M方向2,重型普通货车,62,2024/3/6 6:55
7,大型汽车,黄色,高速K164+750M方向2,重型普通货车,56,2024/3/6 6:55
0,无法识别,其它颜色,高速K164+750M方向1,其它,63,2024/3/6 6:55
8,大型汽车,黄色,高速K164+750M方向2,重型普通货车,60,2024/3/6 6:56
9,大型汽车,黄色,高速K164+750M方向2,重型普通货车,62,2024/3/6 6:56
11,大型汽车,黄色,高速K164+750M方向2,重型普通货车,53,2024/3/6 6:56
10,小型汽车,蓝色,高速K164+750M方向1,小型轿车,80,2024/3/6 6:56
12,小型新能源汽车,绿色,高速K164+750M方向1,小型轿车,73,2024/3/6 6:56
13,大型汽车,黄色,高速K164+750M方向2,重型普通货车,57,2024/3/6 6:58
0,无法识别,其它颜色,高速K164+750M方向1,其它,67,2024/3/6 6:58
14,小型汽车,蓝色,高速K164+750M方向2,小型轿车,77,2024/3/6 6:58
15,小型汽车,蓝色,高速K164+750M方向1,小型轿车,87,2024/3/6 6:58
16,大型汽车,黄色,高速K164+750M方向2,重型普通货车,52,2024/3/6 7:01
17,大型汽车,黄色,高速K164+750M方向2,重型普通货车,58,2024/3/6 7:02
19,大型汽车,黄色,高速K164+750M方向2,重型普通货车,44,2024/3/6 7:02
18,小型汽车,蓝色,高速K164+750M方向1,小型轿车,78,2024/3/6 7:02
20,小型汽车,蓝色,高速K164+750M方向2,小型轿车,64,2024/3/6 7:03
21,小型汽车,蓝色,高速K164+750M方向1,小型轿车,94,2024/3/6 7:03
22,小型汽车,蓝色,高速K164+750M方向1,小型轿车,80,2024/3/6 7:04
24,大型汽车,黄色,高速K164+750M方向2,重型普通货车,66,2024/3/6 7:05
23,小型汽车,蓝色,高速K164+750M方向2,小型轿车,70,2024/3/6 7:05
25,小型汽车,蓝色,高速K164+750M方向1,小型轿车,78,2024/3/6 7:05
26,大型汽车,黄色,高速K164+750M方向2,重型普通货车,52,2024/3/6 7:06
27,小型汽车,蓝色,高速K164+750M方向1,小型轿车,63,2024/3/6 7:06
28,大型汽车,黄色,高速K164+750M方向2,重型普通货车,60,2024/3/6 7:07
29,大型汽车,黄色,高速K164+750M方向2,重型普通货车,59,2024/3/6 7:08
30,小型汽车,蓝色,高速K164+750M方向2,轻型普通货车,73,2024/3/6 7:09
31,小型汽车,蓝色,高速K164+750M方向1,小型轿车,81,2024/3/6 7:10
32,警用汽车,白色,高速K164+750M方向1,小型轿车,74,2024/3/6 7:11
33,大型汽车,黄色,高速K164+750M方向2,重型普通货车,56,2024/3/6 7:12
34,大型汽车,黄色,高速K164+750M方向2,重型普通货车,35,2024/3/6 7:13
35,大型汽车,黄色,高速K164+750M方向2,重型普通货车,55,2024/3/6 7:14
0,无法识别,其它颜色,高速K164+750M方向1,小型轿车,79,2024/3/6 7:14
36,小型汽车,蓝色,高速K164+750M方向2,小型轿车,91,2024/3/6 7:14
37,大型汽车,黄色,高速K164+750M方向2,重型普通货车,64,2024/3/6 7:15
38,小型汽车,蓝色,高速K164+750M方向2,小型轿车,77,2024/3/6 7:15
39,大型汽车,黄色,高速K164+750M方向2,重型普通货车,61,2024/3/6 7:16
40,大型汽车,黄色,高速K164+750M方向2,重型普通货车,48,2024/3/6 7:18
41,小型汽车,蓝色,高速K164+750M方向2,小型轿车,66,2024/3/6 7:18
43,大型汽车,黄色,高速K164+750M方向1,重型普通货车,59,2024/3/6 7:20
44,大型汽车,黄色,高速K164+750M方向2,重型普通货车,48,2024/3/6 7:20
0,无法识别,其它颜色,高速K164+750M方向2,其它,60,2024/3/6 7:20
42,小型汽车,蓝色,高速K164+750M方向1,小型轿车,75,2024/3/6 7:20
45,警用汽车,白色,高速K164+750M方向2,重型普通货车,49,2024/3/6 7:21
0,无法识别,其它颜色,高速K164+750M方向2,其它,42,2024/3/6 7:21
0,无法识别,其它颜色,高速K164+750M方向2,其它,31,2024/3/6 7:21
46,小型汽车,蓝色,高速K164+750M方向2,小型轿车,69,2024/3/6 7:22
47,小型汽车,蓝色,高速K164+750M方向2,小型轿车,73,2024/3/6 7:22
48,小型汽车,蓝色,高速K164+750M方向2,轻型普通货车,75,2024/3/6 7:22
49,大型汽车,黄色,高速K164+750M方向2,重型普通货车,70,2024/3/6 7:23
50,大型汽车,黄色,高速K164+750M方向2,重型普通货车,58,2024/3/6 7:23
51,大型汽车,黄色,高速K164+750M方向2,重型普通货车,50,2024/3/6 7:23
52,大型汽车,黄色,高速K164+750M方向2,重型普通货车,56,2024/3/6 7:23
0,无法识别,其它颜色,高速K164+750M方向1,其它,51,2024/3/6 7:23
53,小型汽车,蓝色,高速K164+750M方向2,轻型普通货车,54,2024/3/6 7:24
54,大型汽车,黄色,高速K164+750M方向2,重型普通货车,62,2024/3/6 7:25
55,小型汽车,蓝色,高速K164+750M方向2,小型轿车,73,2024/3/6 7:25
56,大型汽车,黄色,高速K164+750M方向2,重型普通货车,61,2024/3/6 7:27
0,无法识别,其它颜色,高速K164+750M方向1,其它,61,2024/3/6 7:27
57,大型汽车,黄色,高速K164+750M方向2,重型普通货车,57,2024/3/6 7:28
0,无法识别,其它颜色,高速K164+750M方向1,其它,66,2024/3/6 7:28
58,小型汽车,蓝色,高速K164+750M方向1,小型轿车,66,2024/3/6 7:28
